REGIONAL_OFFICE_NAME,PRACTICE_CODE
North West,P87657
North West,P87620
North West,P87004
North West,N84035
South West,L81051
South East,K84016
South East,K81645
South East,K84049
South East,K84080
North West,P87654
North West,P87024
London,G85721
North West,Y00186
South East,K82070
North West,N81645
North West,N84001
North East and Yorkshire,A87006
London,F82670
North West,P81714
East of England,F81095
North East and Yorkshire,B86068
Midlands,K83032
South West,J83035
Midlands,C84065
London,F82625
London,F83019
South East,K81081
Midlands,M84036
Midlands,C84037
Midlands,C83051
Midlands,K83047
Midlands,M81094
London,F84111
North West,A82010
East of England,E82042
South West,L83101
London,G83031
London,G83631
Midlands,C83617
South East,J82145
Midlands,M83059
East of England,E82105
Midlands,M81046
North West,N82054
London,F84698
London,F85029
North West,N82086
Midlands,K83043
Midlands,K83029
East of England,F81184
North East and Yorkshire,A81004
East of England,D82104
Midlands,M85736
London,H84007
London,E86632
Midlands,C84679
South West,L84073
East of England,D81633
London,E86041
London,E86615
London,E85687
London,E85617
Midlands,C81026
Midlands,M83661
North East and Yorkshire,B83620
London,E83044
London,H83028
London,G84017
London,H83008
East of England,F81181
London,F86607
London,F83020
South East,J82053
South West,L83651
North West,P81042
London,E83600
North West,P81740
North West,P88014
South East,H82023
East of England,F81060
Midlands,M83738
North West,P84009
East of England,D81618
North West,N84012
North West,N84014
North West,N82053
North West,N84002
South West,L81038
North East and Yorkshire,B86051
North East and Yorkshire,B86070
London,G85695
North West,P82640
Midlands,K83026
Midlands,M81072
London,E85004
South West,L83034
North East and Yorkshire,A88010
London,F84012
North West,P89003
London,G85138
North West,N82095
Midlands,M82021
Midlands,M84049
South East,K84613
East of England,D81004
East of England,D82628
North West,N81033
South East,J82092
London,F86731
Midlands,M83107
South East,J82120
East of England,D83002
North West,P85015
Midlands,M87623
London,H85656
London,G83030
Midlands,M83681
North East and Yorkshire,B86039
Midlands,M86004
Midlands,M86039
Midlands,Y04965
North West,N85003
North East and Yorkshire,A81067
South East,J82074
South East,J82122
East of England,D81082
South West,L81127
North East and Yorkshire,A84006
London,E84638
Midlands,M85139
Midlands,C82095
South East,J82124
Midlands,M83035
Midlands,M85123
North West,P84665
North East and Yorkshire,A82004
London,H85065
Midlands,M81044
Midlands,M83640
North West,P91004
Midlands,M85149
North West,P88019
Midlands,C81047
Midlands,M82601
North East and Yorkshire,B87044
Midlands,C82099
North East and Yorkshire,B86008
Midlands,Y01068
Midlands,Y00228
North West,A82005
East of England,F81067
South East,K82004
London,G85698
South East,G82013
South West,L83085
South West,J81076
North East and Yorkshire,B82609
London,F83006
London,F83652
East of England,E82061
Midlands,M87028
North West,P84673
North East and Yorkshire,B81026
East of England,D83608
London,F83666
London,G84624
North West,N82103
East of England,D83005
East of England,F81090
London,Y00057
East of England,E82098
North East and Yorkshire,A83644
North West,P81037
South East,G82679
Midlands,M85158
North East and Yorkshire,A82006
Midlands,C81048
Midlands,M83627
Midlands,M84003
East of England,D81016
London,F85034
South East,G81689
South East,J82020
London,F83004
East of England,E82643
North West,P88625
Midlands,C81634
Midlands,M89030
South East,G81006
North West,P84037
North West,P81147
London,E85744
South East,J84008
South West,L85030
South East,G81050
North West,P81081
London,F85700
Midlands,M89013
North East and Yorkshire,B86096
Midlands,C81017
South East,H82021
East of England,F81640
North East and Yorkshire,C86609
South East,K81655
North East and Yorkshire,B87021
South East,G82138
North West,P81129
North West,P81029
Midlands,C81037
North East and Yorkshire,A89018
East of England,E81615
London,H83033
South West,L83010
North East and Yorkshire,B81045
London,E85032
North East and Yorkshire,B83062
South East,K82061
North West,P84053
South East,G81024
Midlands,C84067
North East and Yorkshire,B86055
East of England,K82054
Midlands,M92609
Midlands,M85026
North West,N81032
South East,G82080
East of England,F81690
South West,J83036
South East,H81017
South East,H81071
South East,H81663
Midlands,M83017
Midlands,M92022
Midlands,C81611
London,F82686
North West,Y02586
North West,P89008
North East and Yorkshire,B86623
North West,P81201
North East and Yorkshire,C85003
London,E85719
North West,P84038
North East and Yorkshire,B83641
East of England,D81047
North West,P86006
North East and Yorkshire,C86605
North East and Yorkshire,A82055
South West,L84026
East of England,E81050
Midlands,C84091
London,E84658
North West,P92015
Midlands,C82614
North West,P92637
North West,N83028
London,Y02974
London,Y02987
London,F84060
South East,J82115
North West,A82062
South West,L82038
North West,N83023
South West,J81068
East of England,E82124
East of England,D82034
Midlands,M85749
North East and Yorkshire,A83021
London,H83037
North West,N81001
Midlands,M83054
East of England,F81123
North West,P81695
London,F82042
South East,H81006
East of England,F81010
North West,P81770
South West,J83018
South East,H82048
South West,J83023
Midlands,M84010
Midlands,M87009
North West,P89004
South West,L85055
South West,L83020
Midlands,M85779
South East,G82058
South East,G82211
Midlands,C82092
Midlands,M81068
North East and Yorkshire,B82063
London,E84014
East of England,D82060
Midlands,M83709
East of England,F81114
South East,J82042
Midlands,M92654
North East and Yorkshire,B83022
Midlands,C84693
London,F84681
Midlands,M83074
Midlands,Y05369
East of England,E82049
Midlands,M85118
East of England,F81155
London,F86042
London,H85637
London,H85066
South East,H82065
East of England,F81150
London,G84040
South East,G82036
South East,K81014
Midlands,M89016
Midlands,M85766
South East,K84010
South East,K84028
South East,K84021
East of England,E82053
London,G84609
North East and Yorkshire,B84016
North East and Yorkshire,A81007
London,G83654
Midlands,M81049
South West,J83005
London,F82018
Midlands,C81662
London,Y01011
North West,P84034
South East,H82087
North East and Yorkshire,A83046
London,G83004
North East and Yorkshire,C86606
Midlands,C84009
North East and Yorkshire,B81628
South West,L83024
North West,P81078
London,F83033
North East and Yorkshire,C88091
Midlands,M81078
East of England,D83059
North West,P91603
Midlands,C82062
North West,P81757
North East and Yorkshire,B81068
South East,K84032
South East,H81013
Midlands,M85117
Midlands,M83065
East of England,E81632
London,F84008
South West,J81074
South West,L83005
Midlands,C82061
Midlands,C81013
North East and Yorkshire,C88037
London,E85716
Midlands,M85025
Midlands,M87621
South West,L81027
North East and Yorkshire,B85008
London,H85111
London,H85049
Midlands,C84101
North West,Y01008
East of England,D82003
East of England,F81100
North East and Yorkshire,B81003
North West,P84033
South West,L83100
Midlands,C83019
North West,P81112
South East,G81019
North East and Yorkshire,A85026
South East,G81042
South East,G81084
Midlands,M87036
South East,G82074
Midlands,M88042
Midlands,M88019
East of England,F81083
North East and Yorkshire,C88046
South West,J81018
Midlands,C82094
North East and Yorkshire,A87011
South West,L83018
East of England,D83009
London,G85100
South West,L85020
London,H85009
East of England,K82039
North East and Yorkshire,A84005
South West,L81082
East of England,E82093
Midlands,M84011
North West,P92633
North West,P92010
North West,P88012
North East and Yorkshire,B82069
North East and Yorkshire,B86655
Midlands,M84065
North East and Yorkshire,B82041
East of England,Y03595
Midlands,M91611
South West,L84039
North West,P81692
Midlands,M82018
London,H85662
Midlands,C83003
North East and Yorkshire,B84613
London,F84038
South West,L81087
East of England,F81023
North West,P81742
North West,P82616
North East and Yorkshire,B86667
North East and Yorkshire,A84008
London,E87753
Midlands,M83068
London,E87005
East of England,E81005
North East and Yorkshire,B86081
North West,N82094
London,G83009
Midlands,M85124
North East and Yorkshire,A84027
North East and Yorkshire,A83014
London,E84069
London,E85049
London,E86009
Midlands,M81093
South East,G81030
London,F83658
London,G83052
Midlands,M82048
Midlands,C84017
North West,P84029
North East and Yorkshire,A86023
East of England,F81713
London,H85031
East of England,E82032
Midlands,M84067
North East and Yorkshire,A85002
North West,B82061
North West,Y02657
North East and Yorkshire,A81018
South West,J81020
South East,K84023
South West,L84030
Midlands,M91028
London,G85623
North West,P81055
South East,Y01964
London,H84053
North West,N83008
South East,H82016
London,F82649
North West,N83054
South East,G82105
London,F84083
Midlands,M83691
North East and Yorkshire,A86030
North West,N81011
North East and Yorkshire,B83657
North East and Yorkshire,A83616
South East,H82088
Midlands,M81057
North East and Yorkshire,A83037
North East and Yorkshire,A85017
North East and Yorkshire,A87013
London,G83028
London,G83053
South East,K81083
North East and Yorkshire,Y05363
North East and Yorkshire,Y05364
South East,K84052
North East and Yorkshire,A86010
Midlands,M83089
Midlands,M83046
South West,L83083
Midlands,M84018
North West,N82671
Midlands,Y06356
Midlands,M83097
East of England,D83006
London,F82675
North West,N83019
Midlands,C83030
South East,H82055
Midlands,C84123
Midlands,M92627
Midlands,Y02757
North East and Yorkshire,B83660
Midlands,C83643
London,F85625
London,G85123
South East,K81060
North East and Yorkshire,B83014
South East,H81026
North East and Yorkshire,A82035
London,F84641
Midlands,M83123
Midlands,M91629
South East,G82666
North West,N81114
Midlands,C83082
East of England,D82059
South East,H81037
South West,L81120
East of England,E82082
London,H83627
South East,G81086
North East and Yorkshire,B85634
North East and Yorkshire,B81087
North East and Yorkshire,C88025
Midlands,C82091
North West,Y02718
North East and Yorkshire,A85008
North East and Yorkshire,A83025
Midlands,M82033
North East and Yorkshire,A83052
South East,J82064
London,H85023
